"filename", "language", "PHP", "JavaScript", "CSS", "SCSS", "Less", "XML", "Ruby", "comment", "blank", "total"
"c:\xampp\htdocs\public_html\Portal\js\jquery.validate.min.js", "JavaScript", 0, -1, 0, 0, 0, 0, 0, -3, 0, -4
"c:\xampp\htdocs\public_html\Portal\js\jscolor.js", "JavaScript", 0, -1365, 0, 0, 0, 0, 0, -162, -329, -1856
"c:\xampp\htdocs\public_html\Portal\js\locationpicker.jquery.js", "JavaScript", 0, -395, 0, 0, 0, 0, 0, -56, -13, -464
"c:\xampp\htdocs\public_html\Portal\js\pagination.js", "JavaScript", 0, -80, 0, 0, 0, 0, 0, -2, -19, -101
"c:\xampp\htdocs\public_html\Portal\js\phone.js", "JavaScript", 0, -2103, 0, 0, 0, 0, 0, -7, -1, -2111
"c:\xampp\htdocs\public_html\Portal\login_leftsidebar.php", "PHP", -12, 0, 0, 0, 0, 0, 0, 0, -10, -22
"c:\xampp\htdocs\public_html\Portal\rs-plugin\css\settings.css", "CSS", 0, 0, -1808, 0, 0, 0, 0, -137, -427, -2372
"c:\xampp\htdocs\public_html\Portal\rs-plugin\css\style.css", "CSS", 0, 0, -108, 0, 0, 0, 0, -21, -33, -162
"c:\xampp\htdocs\public_html\Portal\rs-plugin\font\revicons.svg", "XML", 0, 0, 0, 0, 0, -54, 0, 0, 0, -54
"c:\xampp\htdocs\public_html\Portal\rs-plugin\js\jquery.themepunch.revolution.min.js", "JavaScript", 0, -1, 0, 0, 0, 0, 0, -6, -2, -9
"c:\xampp\htdocs\public_html\Portal\rs-plugin\js\jquery.themepunch.tools.min.js", "JavaScript", 0, -40, 0, 0, 0, 0, 0, -73, -29, -142
"c:\xampp\htdocs\public_html\Portal\slick\config.rb", "Ruby", 0, 0, 0, 0, 0, 0, -8, 0, -2, -10
"c:\xampp\htdocs\public_html\Portal\slick\fonts\slick.svg", "XML", 0, 0, 0, 0, 0, -13, 0, 0, -2, -15
"c:\xampp\htdocs\public_html\Portal\slick\slick-theme.css", "CSS", 0, 0, -168, 0, 0, 0, 0, -4, -31, -203
"c:\xampp\htdocs\public_html\Portal\slick\slick-theme.less", "Less", 0, 0, 0, 0, -150, 0, 0, -5, -14, -169
"c:\xampp\htdocs\public_html\Portal\slick\slick-theme.scss", "SCSS", 0, 0, 0, -170, 0, 0, 0, -9, -16, -195
"c:\xampp\htdocs\public_html\Portal\slick\slick.css", "CSS", 0, 0, -101, 0, 0, 0, 0, -2, -15, -118
"c:\xampp\htdocs\public_html\Portal\slick\slick.js", "JavaScript", 0, -2019, 0, 0, 0, 0, 0, -47, -827, -2893
"c:\xampp\htdocs\public_html\Portal\slick\slick.less", "Less", 0, 0, 0, 0, -85, 0, 0, -1, -13, -99
"c:\xampp\htdocs\public_html\Portal\slick\slick.min.js", "JavaScript", 0, -2, 0, 0, 0, 0, 0, -16, 0, -18
"c:\xampp\htdocs\public_html\Portal\slick\slick.scss", "SCSS", 0, 0, 0, -85, 0, 0, 0, -1, -13, -99
"Total", "-", -336, -31678, -8332, -2013, -1993, -2738, -8, -5093, -8256, -60447
