"filename", "language", "Java", "XML", "comment", "blank", "total"
"c:\Users\kyle\Desktop\ChatBot\app\src\main\java\com\dinosoftlabs\chatbot\Model\User.java", "Java", 47, 0, 0, 17, 64
"c:\Users\kyle\Desktop\ChatBot\app\src\main\java\com\dinosoftlabs\chatbot\RegisterActivity.java", "Java", 87, 0, 1, 24, 112
"c:\Users\kyle\Desktop\ChatBot\app\src\main\java\com\dinosoftlabs\chatbot\StartActivity.java", "Java", 41, 0, 1, 21, 63
"c:\Users\kyle\Desktop\ChatBot\app\src\main\java\com\dinosoftlabs\chatbot\UserManagementActivity.java", "Java", 50, 0, 0, 16, 66
"c:\Users\kyle\Desktop\ChatBot\app\src\main\java\com\dinosoftlabs\chatbot\Variables.java", "Java", 20, 0, 3, 18, 41
"c:\Users\kyle\Desktop\ChatBot\app\src\main\res\anim\item_animation_from_bottom.xml", "XML", 0, -14, 0, -5, -19
"c:\Users\kyle\Desktop\ChatBot\app\src\main\res\anim\layout_animation_from_bottom.xml", "XML", 0, -7, 0, 0, -7
"c:\Users\kyle\Desktop\ChatBot\app\src\main\res\drawable-v24\ic_launcher_foreground.xml", "XML", 0, -34, 0, -1, -35
"c:\Users\kyle\Desktop\ChatBot\app\src\main\res\drawable\add_new.xml", "XML", 0, -10, 0, -1, -11
"c:\Users\kyle\Desktop\ChatBot\app\src\main\res\drawable\back.xml", "XML", 0, -10, 0, -1, -11
"c:\Users\kyle\Desktop\ChatBot\app\src\main\res\drawable\background_left.xml", "XML", 0, -8, 0, -3, -11
"c:\Users\kyle\Desktop\ChatBot\app\src\main\res\drawable\background_right.xml", "XML", 0, -8, 0, -3, -11
"c:\Users\kyle\Desktop\ChatBot\app\src\main\res\drawable\d_bottom_gray_line.xml", "XML", 0, -14, 0, -1, -15
"c:\Users\kyle\Desktop\ChatBot\app\src\main\res\drawable\d_my_msg_background.xml", "XML", 0, -22, 0, 0, -22
"c:\Users\kyle\Desktop\ChatBot\app\src\main\res\drawable\d_other_msg_background.xml", "XML", 0, -22, 0, 0, -22
"c:\Users\kyle\Desktop\ChatBot\app\src\main\res\drawable\d_round_red_border.xml", "XML", 0, -7, 0, 0, -7
"c:\Users\kyle\Desktop\ChatBot\app\src\main\res\drawable\ic_launcher_background.xml", "XML", 0, -170, 0, -1, -171
"c:\Users\kyle\Desktop\ChatBot\app\src\main\res\drawable\ic_launcher_foreground.xml", "XML", 0, -34, 0, -1, -35
