Date : 2022-02-08 07:10:16
Directory : c:\xampp\htdocs\public_html\Portal
Total : 67 files,  47300 codes, 5113 comments, 8320 blanks, all 60733 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\xampp\htdocs\public_html\Portal\js\jquery.timepicker.js                          | JavaScript |      1,098 |         67 |        218 |      1,383 |
| c:\xampp\htdocs\public_html\Portal\js\jquery.validate.min.js                        | JavaScript |          1 |          3 |          0 |          4 |
| c:\xampp\htdocs\public_html\Portal\js\jscolor.js                                    | JavaScript |      1,365 |        162 |        329 |      1,856 |
| c:\xampp\htdocs\public_html\Portal\js\locationpicker.jquery.js                      | JavaScript |        395 |         56 |         13 |        464 |
| c:\xampp\htdocs\public_html\Portal\js\pagination.js                                 | JavaScript |         80 |          2 |         19 |        101 |
| c:\xampp\htdocs\public_html\Portal\js\phone.js                                      | JavaScript |      2,103 |          7 |          1 |      2,111 |
| c:\xampp\htdocs\public_html\Portal\login_leftsidebar.php                            | PHP        |         12 |          0 |         10 |         22 |
| c:\xampp\htdocs\public_html\Portal\rs-plugin\css\settings.css                       | CSS        |      1,808 |        137 |        427 |      2,372 |
| c:\xampp\htdocs\public_html\Portal\rs-plugin\css\style.css                          | CSS        |        108 |         21 |         33 |        162 |
| c:\xampp\htdocs\public_html\Portal\rs-plugin\font\revicons.svg                      | XML        |         54 |          0 |          0 |         54 |
| c:\xampp\htdocs\public_html\Portal\rs-plugin\js\jquery.themepunch.revolution.min.js | JavaScript |          1 |          6 |          2 |          9 |
| c:\xampp\htdocs\public_html\Portal\rs-plugin\js\jquery.themepunch.tools.min.js      | JavaScript |         40 |         73 |         29 |        142 |
| c:\xampp\htdocs\public_html\Portal\slick\config.rb                                  | Ruby       |          8 |          0 |          2 |         10 |
| c:\xampp\htdocs\public_html\Portal\slick\fonts\slick.svg                            | XML        |         13 |          0 |          2 |         15 |
| c:\xampp\htdocs\public_html\Portal\slick\slick-theme.css                            | CSS        |        168 |          4 |         31 |        203 |
| c:\xampp\htdocs\public_html\Portal\slick\slick-theme.less                           | Less       |        150 |          5 |         14 |        169 |
| c:\xampp\htdocs\public_html\Portal\slick\slick-theme.scss                           | SCSS       |        170 |          9 |         16 |        195 |
| c:\xampp\htdocs\public_html\Portal\slick\slick.css                                  | CSS        |        101 |          2 |         15 |        118 |
| c:\xampp\htdocs\public_html\Portal\slick\slick.js                                   | JavaScript |      2,019 |         47 |        827 |      2,893 |
| c:\xampp\htdocs\public_html\Portal\slick\slick.less                                 | Less       |         85 |          1 |         13 |         99 |
| c:\xampp\htdocs\public_html\Portal\slick\slick.min.js                               | JavaScript |          2 |         16 |          0 |         18 |
| c:\xampp\htdocs\public_html\Portal\slick\slick.scss                                 | SCSS       |         85 |          1 |         13 |         99 |
| Total                                                                               |            |     47,300 |      5,113 |      8,320 |     60,733 |
+-------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
